"CU","Issue","Titulo","Modulo","EstadoGitHub","EstadoReal","Estimacion","Criterios","Funcional","Pruebas","DBSeguridad","QA","Documentacion","PorcentajeMain","PorcentajePR117","RamaLocalPuertaA","ProyectadoQA_Azure","Evidencia","Brecha","Accion","Confianza"
"CU-072","#25","CU-072 Como vendedor, quiero que el sistema permita registrar pedidos sin conexión a internet, para no perder ventas en zonas sin señal.","Ventas móviles","#25 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-073","#26","CU-073 Como gerente de ventas quiero autorizar o rechazar pedidos que presenten irregularidades (descuentos altos, crédito excedido) para mantener el control financiero.","Ventas móviles","#26 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-074","#27","CU-074 Como cliente quiero recibir una notificación inmediata de la confirmación de mi pedido para tener la seguridad de que mi compra está en proceso.","Ventas móviles","#27 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-081","#28","CU-081 Como administrador logístico quiero generar y organizar rutas de entrega para optimizar tiempos y costos de distribución","Logística","#28 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-082","#29","CU-082 Como chofer quiero actualizar el estado del pedido durante la entrega para mantener información en tiempo real","Logística","#29 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-083","#30","CU-083 Como empresa quiero registrar evidencia de entrega para garantizar trazabilidad y respaldo ante reclamos","Logística","#30 OPEN","Reforzada y probada; QA pendiente","no especificada","5","35","20","15","0","5","80","80","80","95","Código, migración y pruebas focales en #112/#117","QA autenticado o de ambiente pendiente","Mantener En QA","media-alta"
"CU-084","#31","CU-084 Como administrador quiero visualizar el estado de las entregas en tiempo real para tomar decisiones operativas oportunas","Logística","#31 OPEN","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","0","5","0","85","85","95","Código, pruebas y migración en #117","No integrado en main; QA manual/Azure pendiente","Mantener En QA; no cerrar","alta-código/media-entorno"
"CU-091","#32","CU-091 Como administrador quiero generar facturas electrónicas automáticamente al confirmar una venta para formalizar la transacción y cumplir con la normativa fiscal","Facturación y finanzas","#32 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-092","#33","CU-092 Como empresa quiero enviar automáticamente el comprobante al cliente para agilizar la entrega de documentación y reducir uso de papel","Facturación y finanzas","#33 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-093","#34","CU-093 Como administrador financiero quiero visualizar y controlar las cuentas por cobrar para mantener la liquidez del negocio","Facturación y finanzas","#34 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-094","#35","CU-094 Como gerente quiero visualizar ingresos y egresos para tomar decisiones financieras basadas en datos actualizados","Facturación y finanzas","#35 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-101","#36","CU-101 Como encargado de compras quiero registrar y administrar proveedores para llevar control de los contactos y productos que suministran","Compras","#36 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","5","5","0","85","90","95","Código, pruebas y migración en #117; harness LocalDB reproducible aprobado","QA autenticado y Azure DEV pendientes","Mantener En QA hasta validación de entorno","alta-código/media-entorno"
"CU-102","#37","CU-102 Como encargado de compras quiero registrar órdenes/facturas de compra a proveedores para controlar gastos y reponer inventario","Compras","#37 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","5","5","0","85","90","95","Código, pruebas y migración en #117; harness LocalDB reproducible aprobado","QA autenticado y Azure DEV pendientes","Mantener En QA hasta validación de entorno","alta-código/media-entorno"
"CU-103","#38","CU-103 Como encargado de compras quiero recibir sugerencias automáticas de compra según ventas y stock para no quedarme sin producto ni sobrecomprar","Compras","#38 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","5","5","0","85","90","95","Código, pruebas y migración en #117; harness LocalDB reproducible aprobado","QA autenticado y Azure DEV pendientes","Mantener En QA hasta validación de entorno","alta-código/media-entorno"
"CU-104","#39","CU-104 Como encargado de compras quiero comparar precios históricos de un producto por proveedor para tomar mejores decisiones de compra","Compras","#39 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","5","5","0","85","90","95","Código, pruebas y migración en #117; harness LocalDB reproducible aprobado","QA autenticado y Azure DEV pendientes","Mantener En QA hasta validación de entorno","alta-código/media-entorno"
"CU-105","#40","CU-105 Como encargado de bodega quiero liquidar la ruta al final del día para reingresar al inventario la mercadería no entregada","Compras","#40 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-106","#41","CU-106 Como cajero/financiero quiero registrar la liquidación de cobros de la ruta para cuadrar el dinero en efectivo y comprobantes recibidos por el chofer","Compras","#41 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-111","#42","CU-111 Como administrador de RRHH quiero registrar y mantener el expediente de los empleados (datos personales, puesto, salario base) para gestionar el talento humano de la empresa.","RRHH y planilla","#42 OPEN","Implementada localmente; QA de entorno pendiente","no especificada","10","35","20","15","3","5","40","40","88","95","IEmployeesService, concurrencia rowversion, historial/auditoría, permisos exactos, migración 0017 y pruebas","Falta aplicar 0017-0020 y ejecutar QA autenticado/SMTP en entorno autorizado","Publicar solo tras Puerta B; después ejecutar migración y QA controlados","alta"
"CU-112","#43","CU-112 Como supervisor quiero registrar y validar las horas trabajadas, ausencias y horas extras del personal operativo (choferes, bodegueros) para el cálculo exacto de sus pagos.","RRHH y planilla","#43 OPEN","Implementada localmente; QA de entorno pendiente","no especificada","10","35","20","15","3","5","10","10","88","95","Jornadas propias, validación, aprobación segregada, idempotencia, migración 0018 y pruebas","Falta aplicar 0017-0020 y ejecutar QA autenticado/SMTP en entorno autorizado","Publicar solo tras Puerta B; después ejecutar migración y QA controlados","alta"
"CU-113","#44","CU-113 Como encargado de planilla quiero calcular automáticamente los salarios, deducciones de ley y comisiones de venta para generar la nómina de pago (quincenal/mensual).","RRHH y planilla","#44 OPEN","Implementada localmente; QA de entorno pendiente","no especificada","10","35","20","15","3","5","10","10","88","95","Motor puro reproducible, reglas versionadas con fuente, estados segregados, snapshot, migración 0019 y pruebas","Falta aplicar 0017-0020 y ejecutar QA autenticado/SMTP en entorno autorizado","Publicar solo tras Puerta B; después ejecutar migración y QA controlados","alta"
"CU-114","#45","CU-114 Como empleado quiero recibir mi comprobante de pago (boleta) desglosado por correo electrónico para tener control de mis ingresos y deducciones.","RRHH y planilla","#45 OPEN","Implementada localmente; QA de entorno pendiente","no especificada","10","35","20","15","3","5","10","10","88","95","Boleta derivada del snapshot, autorización por propietario, enlace HTTPS, fake SMTP, idempotencia y migración 0020","Falta aplicar 0017-0020 y ejecutar QA autenticado/SMTP en entorno autorizado","Publicar solo tras Puerta B; después ejecutar migración y QA controlados","alta"
"CU-121","#46","CU-121 Como cliente quiero acceder al portal de clientes para consultar mi información y realizar gestiones de forma autónoma","Portal cliente","#46 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-122","#47","CU-122 Como cliente quiero realizar pedidos desde el portal para comprar productos sin depender de un vendedor","Portal cliente","#47 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-123","#48","CU-123 Como cliente quiero consultar mi estado de cuenta para conocer mis saldos y pagos pendientes","Portal cliente","#48 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-124","#49","CU-124 Como cliente quiero descargar mis facturas desde el portal para tener respaldo de mis compras","Portal cliente","#49 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-131","#50","CU-131 Como gerente quiero visualizar un tablero de indicadores para monitorear el desempeño general del negocio","Reportes","#50 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-132","#51","CU-132 Como gerente quiero consultar reportes de ventas para analizar el rendimiento comercial","Reportes","#51 OPEN","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","5","5","0","85","90","95","Código, pruebas y migración en #117; harness LocalDB reproducible aprobado","QA autenticado y Azure DEV pendientes","Mantener En QA hasta validación de entorno","alta-código/media-entorno"
"CU-133","#52","CU-133 Como administrador quiero consultar reportes de inventario para conocer el estado de existencias","Reportes","#52 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-134","#53","CU-134 Como gerente quiero consultar reportes de desempeño de vendedores para evaluar resultados del equipo","Reportes","#53 OPEN","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","5","5","0","85","90","95","Código, pruebas y migración en #117; harness LocalDB reproducible aprobado","QA autenticado y Azure DEV pendientes","Mantener En QA hasta validación de entorno","alta-código/media-entorno"
"CU-141","#54","CU-141 Como encargado de bodega quiero registrar devoluciones de productos para mantener control del inventario","Devoluciones y garantías","#54 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-142","#55","CU-142 Como encargado de bodega quiero colocar productos devueltos en cuarentena para evitar que sean vendidos nuevamente","Devoluciones y garantías","#55 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-143","#56","CU-143 Como administrador quiero dar seguimiento a las devoluciones para controlar incidencias y calidad de productos","Devoluciones y garantías","#56 CLOSED","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-144","#57","CU-144 Como encargado de servicio quiero gestionar solicitudes de garantía para resolver problemas con productos","Devoluciones y garantías","#57 CLOSED","Reforzada y probada; QA pendiente","no especificada","5","35","20","15","0","5","80","80","80","95","Código, migración y pruebas focales en #112/#117","QA autenticado o de ambiente pendiente","Mantener En QA","media-alta"
"CU-151","#58","CU-151 Como encargado de logística quiero registrar y administrar los vehículos de la flotilla (placa, marca, capacidad de carga) para controlar los activos disponibles para las rutas.","Flotilla","#58 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-152","#59","CU-152 Como chofer quiero registrar el kilometraje inicial y final de mi jornada desde la app para alimentar el sistema de control de desgaste del vehículo.","Flotilla","#59 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-153","#60","CU-153 Como encargado de logística quiero registrar las órdenes de mantenimiento (preventivo y correctivo) aplicadas a cada vehículo para llevar control de los gastos del taller.","Flotilla","#60 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-154","#61","CU-154 Como administrador quiero recibir alertas automáticas de mantenimientos preventivos y vencimientos legales para evitar averías mayores o multas de tránsito.","Flotilla","#61 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-161","#62","CU-161 Como encargado de activos quiero registrar los equipos de la empresa (neveras, exhibidores) con su código de activo (placa) para mantener el inventario físico disponible para préstamo.","Activos","#62 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-162","#63","CU-162 Como administrador quiero registrar la asignación (comodato) de un equipo a un cliente para tener trazabilidad de quién tiene el activo y desde cuándo.","Activos","#63 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-163","#64","CU-163 Como encargado de activos quiero registrar la devolución o retiro de un equipo prestado para reingresarlo al inventario o enviarlo a mantenimiento.","Activos","#64 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-164","#65","CU-164 Como auditor o gerente quiero consultar el inventario de equipos prestados y cruzarlo con el historial de compras para verificar su rentabilidad.","Activos","#65 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-171","#66","CU-171 Como gerente comercial quiero configurar promociones (descuento porcentual o regalía por volumen) para incentivar la venta de productos estratégicos.","Promociones","#66 OPEN","Reforzada y probada; QA pendiente","no especificada","5","35","20","15","0","5","80","80","80","95","Código, migración y pruebas focales en #112/#117","QA autenticado o de ambiente pendiente","Mantener En QA","media-alta"
"CU-172","#67","CU-172 Como gerente comercial quiero segmentar las promociones por tipo de cliente (ej. solo mayoristas) para dirigir las estrategias de mercado correctamente.","Promociones","#67 OPEN","Reforzada y probada; QA pendiente","no especificada","5","35","20","15","0","5","80","80","80","95","Código, migración y pruebas focales en #112/#117","QA autenticado o de ambiente pendiente","Mantener En QA","media-alta"
"CU-173","#68","CU-173 Como vendedor quiero que el sistema calcule y aplique automáticamente las promociones en el carrito de compras para evitar errores de facturación manual.","Promociones","#68 OPEN","Reforzada y probada; QA pendiente","no especificada","5","35","20","15","0","5","80","80","80","95","Código, migración y pruebas focales en #112/#117","QA autenticado o de ambiente pendiente","Mantener En QA","media-alta"
"CU-174","#69","CU-174 Como administrador quiero inactivar manualmente una promoción antes de su fecha de vencimiento en caso de contingencias (ej. escasez de producto).","Promociones","#69 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-181","#70","CU-181 Como encargado de inventario quiero agrupar múltiples productos en un ""Combo"" para venderlos como un solo paquete promocional.","Inventario avanzado","#70 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","0","5","0","85","85","95","Código, pruebas y migración en #117","No integrado en main; QA manual/Azure pendiente","Mantener En QA; no cerrar","alta-código/media-entorno"
"CU-182","#71","CU-182 Como bodeguero quiero registrar la transformación de un producto a diferentes presentaciones (ej. de caja a unidades) para actualizar el stock.","Inventario avanzado","#71 CLOSED","Disponible solo en rama abierta; En QA","no especificada","5","35","25","15","0","5","0","85","85","95","Código, pruebas y migración en #117","No integrado en main; QA manual/Azure pendiente","Mantener En QA; no cerrar","alta-código/media-entorno"
"CU-191","#72","CU-191 Como agente de servicio al cliente quiero registrar un reclamo de un cliente para darle seguimiento oportuno a su inconformidad.","Reclamos","#72 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-192","#73","CU-192 Como agente de soporte quiero cambiar el estado de un reclamo a ""Cerrado"" documentando la resolución para mantener el orden de los casos.","Reclamos","#73 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-201","#74","CU-201 Como administrador quiero subir documentos legales y operativos al sistema en formato digital para mantener un archivo centralizado.","Documentos","#74 CLOSED","Disponible solo en rama; QA UI pendiente","no especificada","5","35","15","15","5","5","0","80","80","95","Flujo, migraciones 0007-0011 y evidencia DB en #112/#117","No integrado en main; smoke autenticado pendiente","Revisar #117 y mantener En QA","media"
"CU-202","#75","CU-202 Como encargado administrativo quiero recibir alertas cuando un documento esté próximo a vencer (ej. permisos de salud) para renovarlo a tiempo.","Documentos","#75 OPEN","Disponible solo en rama; QA UI pendiente","no especificada","5","35","15","15","5","5","0","80","80","95","Flujo, migraciones 0007-0011 y evidencia DB en #112/#117","No integrado en main; smoke autenticado pendiente","Revisar #117 y mantener En QA","media"
"CU-211","#76","CU-211 Como gerente de ventas quiero definir metas mensuales por vendedor para establecer objetivos claros de ingresos.","KPIs","#76 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
"CU-212","#77","CU-212 Como vendedor quiero visualizar un panel (dashboard) con mi progreso en tiempo real para saber cuánto me falta para alcanzar mi meta.","KPIs","#77 OPEN","Implementada; QA de entorno pendiente","no especificada","5","35","5","10","0","5","60","60","60","75","Flujo vertical y SQL histórico documentados","Pruebas focales o QA autenticado pendientes","Mantener abierta o revalidar antes de cerrar","media"
